trump_Anzahl Posts,trump_Sentiment Median,trump_Sentiment Standardabweichung,trump_Sentiment Minimum,trump_Sentiment Maximum,trump_negaties Sentiment,trump_positives Sentiment,trump_politische Posts,trump_wirtschaftsbezogene Posts,trump_Posts mit Schlüsselwörtern,meteo_Temperatur (°C),meteo_Relative Luftfeuchtigkeit (%),meteo_Luftdruck (hPa),meteo_Windgeschwindigkeit (km/h),meteo_Globalstrahlung (W/m²),meteo_Niederschlagsdauer (min),fx_China Volksrepublik,fx_Deutschland,fx_Frankreich,fx_Italien,fx_Vereinigte Staaten von Amerika,snb_SNB Leitzins,vix_VIX,events_Anzahl Posts,events_Sentiment Median,events_Sentiment Standardabweichung,events_Sentiment Minimum,events_Sentiment Maximum,events_negaties Sentiment,events_positives Sentiment,events_politische Posts,events_wirtschaftsbezogene Posts,events_Posts mit Schlüsselwörtern,baltic_Baltic Dry Index,SPI,Banken,Finanzen,Gesundheit,Lebensmittel,Versicherungen,date
45.0,0.0,0.6194249507944176,-0.9865,0.9972,-0.8155,0.8278,-0.40775,-0.368875,-0.362325,0.36926470588235294,82.06117647058824,966.3563235294117,3.0734117647058827,759.52,10.003333333333334,-0.09462968654994075,0.22256972755252402,0.22753866230789122,0.2236388552688151,-0.2129513391602944,0.5,3.3429394812680036,66.0,0.0,0.5464213778634098,-0.9826,0.8979,-0.68255,0.6597,-0.036599999999999994,-0.0036,0.476,4.178814382896023,15518.44,99.76,100.45,92.07,87.32,104.58,2025-01-03 00:00:00+01:00
16.0,0.5557000000000001,0.9067225823431669,-0.9771,0.9708,-0.8676916666666666,0.8118525000000001,0.009399999999999992,0.18616,0.9267666666666666,9.121911764705882,70.1925,945.5825,5.044941176470589,923.3199999999999,249.44333333333333,0.5035750441550357,-0.2787873976277444,-0.26930761956101,-0.29172721730369444,0.33034362935009387,0.5,-10.03904071388735,55.0,-0.45855,0.5360751201234624,-0.9559,0.9806,-0.72435,0.4767,-0.0386,-0.650725,,-2.7052238805970186,15616.72,100.35,102.51,92.36,86.58,104.88,2025-01-06 00:00:00+01:00
14.0,0.1867,0.4329611462023805,0.0,0.9838,,0.8605499999999999,,,0.4919,5.749264705882353,72.30676470588234,953.0660294117647,8.332235294117647,1134.92,75.11,0.20357100439107878,-0.49698827512580923,-0.48338864089608746,-0.49462721805761944,0.20495846617596403,0.5,-0.5579665220086794,24.0,-0.07655,0.49801150036194314,-0.9517,0.5859,-0.6705,0.5574,,-0.1531,,-2.684563758389258,15784.16,100.74,103.29,94.15,87.61,105.8,2025-01-07 00:00:00+01:00
6.0,-0.20015,0.6541620087307629,-0.9583,0.8984,-0.6170666666666667,0.5944499999999999,-0.72545,,,7.323529411764706,88.785,950.8173529411765,6.602117647058824,443.44,385.74666666666667,-0.7410755926825496,0.2108608747531715,0.22846982634545654,0.22542364816873217,-0.8485519632959959,0.5,11.097256857855363,14.0,-0.6133500000000001,0.6022762153368166,-0.9493,0.6486,-0.7464,0.4939,-0.6705,,,-4.82758620689655,15830.35,101.04,103.94,94.67,87.92,105.34,2025-01-08 00:00:00+01:00
17.0,0.0,0.4615767069481072,-0.9697,0.9861,-0.92995,0.9125,-0.48485,,,7.9197058823529405,79.36852941176471,950.8100000000001,7.657411764705883,1032.7,86.83,0.06601528779983656,0.15488603887900965,0.17607510241286484,0.14402720992741092,0.01869697322611774,0.5,-0.6734006734006814,22.0,-0.5563,0.4207290863381198,-0.946,0.5994,-0.6705,0.2263,-0.6124,,,0.31055900621117516,15876.17,101.62,106.24,95.67,87.47,104.22,2025-01-09 00:00:00+01:00
7.0,0.9579,0.7532184252861026,-0.9771,0.9887,-0.9771,0.9334199999999999,-0.9771,,,2.301617647058823,69.75823529411765,963.5007352941177,3.0698823529411765,695.84,0.006666666666666667,-0.16306788621187618,-0.1629313769552443,-0.13871149410726868,-0.14374000705213996,-0.20486595524199513,0.5,2.090395480226004,19.0,-0.0258,0.5718349522135731,-0.875,0.8442,-0.6808,0.5345,,,0.8442,8.152734778121772,15724.2,101.2,104.64,94.97,86.31,102.68,2025-01-10 00:00:00+01:00
50.0,0.0,0.5783882082540829,-0.9531,0.9816,-0.8176,0.6305833333333334,0.9661666666666666,0.9569666666666666,0.9274,-2.489705882352941,75.71308823529411,979.8779411764706,5.664705882352941,1307.47,0.0,-0.3797117237457348,0.6611401152233132,0.6885016887199447,0.6636819185476206,-0.4049386630633478,0.5,8.135030437188707,53.0,-0.4588,0.5192083892558789,-0.9186,0.802,-0.6908,0.6225,-0.296,-0.6369,0.30355,4.293893129770998,15595.21,101.55,102.86,94.18,86.4,101.97,2025-01-13 00:00:00+01:00
11.0,0.0,0.7004841158409336,-0.8951,0.9438,-0.6763399999999999,0.78125,0.09803333333333335,0.8528,0.4264,-2.0644117647058824,76.98191176470588,976.8885294117647,2.6329411764705886,1384.8200000000002,0.0,0.14838346330507957,-0.5339042252184734,-0.5043900445660054,-0.5347502646336544,0.1248862963792563,0.5,-1.7911975435005,16.0,-0.17715,0.4732012454196065,-0.6808,0.9325,-0.45930000000000004,0.56775,-0.3612,,0.28564999999999996,-1.1893870082342217,15610.35,102.02,103.21,93.68,86.61,102.77,2025-01-14 00:00:00+01:00
8.0,0.7678,0.6385655867422144,-0.9004,0.996,-0.9004,0.7634666666666666,,,0.8802,0.5043627450980392,88.46774509803922,974.492794117647,4.364470588235295,1127.35,0.0,0.48360142468948375,-0.05878957381836303,-0.027017015549934964,-0.04007158300728397,0.4387954594291754,0.5,-2.5013027618551398,16.0,-0.27965,0.3760740297246452,-0.8316,0.128,-0.7781,,,,-0.1189,-1.5740740740740722,15724.34,102.24,105.09,94.59,86.06,104.23,2025-01-15 00:00:00+01:00
15.0,0.9259,0.3569788742582209,0.0,0.9765,,0.8784615384615384,0.42523999999999995,0.92975,0.9259,2.5358823529411763,77.69044117647059,976.5972058823529,5.055529411764706,1233.69,0.0,0.09128961893978271,0.30648136479420884,0.34019656931700837,0.31101206706334317,0.0612163823361378,0.5,-13.842864778193476,23.0,0.0,0.6178431933597939,-0.926,0.8658,-0.78755,0.5859,,,0.363225,-3.762935089369712,15908.04,102.39,105.91,95.08,86.47,104.42,2025-01-16 00:00:00+01:00
13.0,0.0,0.4798785781253313,-0.6884,0.9776,-0.44435,0.802025,,0.8497,0.8974500000000001,1.0330882352941178,80.63823529411764,977.3398529411764,3.931058823529412,523.53,0.0,-0.01064263324143111,-0.12381226226024777,-0.08879396073319112,-0.12290495133169266,-0.003943632980107914,0.5,2.977667493796532,16.0,-0.48765,0.6574350804135214,-0.9118,0.8442,-0.7351,0.6808,-0.3156,,0.8143499999999999,-3.5190615835777095,15983.37,102.06,108.22,94.37,86.79,105.02,2025-01-17 00:00:00+01:00
47.0,0.0,0.40276060241431616,-0.5256,0.9803,-0.5256,0.758,-0.5256,,0.9803,-0.2911764705882353,92.61117647058823,963.3516176470589,3.5124705882352942,1476.17,0.0,-0.42528779171837616,-0.37961922127863756,-0.3435658091549332,-0.36948950043339535,-0.2823651526251858,0.5,-3.795180722891567,51.0,-0.7096,0.6250478551156026,-0.9868,0.8979,-0.8427,0.57395,-0.6466000000000001,0.6369,0.7644500000000001,-3.039513677811545,16038.44,101.75,109.77,94.73,87.09,103.94,2025-01-20 00:00:00+01:00
13.0,0.34,0.385867687898459,-0.516,0.7943,-0.516,0.5582142857142857,-0.058666666666666666,,0.7943,-0.016176470588235303,95.69264705882354,961.6645588235294,3.1856470588235295,1093.0,0.0,-0.09478906578630486,-0.11859461603350718,-0.08159043712956393,-0.10259285842056931,0.3321873881642734,0.5,-1.0018785222291826,18.0,-0.48895,0.5621652248227383,-0.8748,0.9022,-0.7506,0.5994,0.9022,0.2997,0.74405,-3.0303030303030276,16154.11,102.19,109.79,95.66,87.46,104.34,2025-01-21 00:00:00+01:00
12.0,0.62415,0.6722510074144158,-0.9833,0.9531,-0.9589,0.7273999999999999,-0.9345,-0.9345,-0.9345,0.7239705882352941,93.89647058823529,954.8098529411765,2.8821176470588235,486.09999999999997,92.89333333333333,0.5713967898943517,-0.1873915982728236,-0.15005001629654346,-0.1850333267075066,0.6721545460667278,0.5,-4.743833017077803,17.0,-0.6908,0.37566139654340475,-0.9648,0.4215,-0.7589,0.4215,-0.7158,,-0.25,-3.7715517241379337,16267.45,102.09,110.6,96.69,86.68,105.41,2025-01-22 00:00:00+01:00
10.0,0.5411,0.52147771871012,-0.5255,0.9973,-0.5255,0.7849166666666667,0.7221,,,5.121617647058823,86.76294117647059,957.5779411764706,3.2089411764705886,558.57,113.44000000000001,-0.08322464876271418,-0.02762001330760544,0.009947848343894172,-0.02180790602991367,-0.2882499568654717,0.5,0.26560424966799445,12.0,-0.23815,0.491833765569776,-0.8834,0.4019,-0.7645,0.3612,0.3612,,,-7.726763717805152,16335.86,102.7,111.34,96.94,87.19,105.81,2025-01-23 00:00:00+01:00
8.0,0.3294,0.4197599577649792,0.0,0.915,,0.77425,,,0.7392,7.6157352941176475,65.2870588235294,958.51,4.139294117647059,1675.17,0.0,-0.26193147260261673,-0.4511807732417883,-0.4140427224759935,-0.4511193310949735,0.33058070190168376,0.5,-0.5298013245033095,20.0,-0.25,0.46592658095681266,-0.802,0.8555,-0.6486,0.38075000000000003,0.24935,,,-5.582524271844658,16370.48,102.14,111.45,97.25,87.31,105.35,2025-01-24 00:00:00+01:00
52.0,0.2202,0.3917501278603128,-0.658,0.9922,-0.658,0.6955333333333332,0.3983,0.20379999999999998,0.464125,7.248088235294118,92.77735294117646,948.7425,4.86,547.83,722.3566666666667,0.5807829341039072,0.34891685019380336,0.38582013537484805,0.3652933925833102,0.2987112083864485,0.5,-1.131824234354195,45.0,-0.2732,0.5634733472610689,-0.8934,0.926,-0.6486,0.5423,-0.46330000000000005,-0.5362,-0.273825,-2.185089974293064,16498.18,102.87,110.86,98.51,90.16,107.03,2025-01-27 00:00:00+01:00
9.0,0.0,0.5815777398594275,-0.9023,0.9781,-0.9023,0.8326666666666668,,,0.9781,5.936911764705882,83.86926470588234,947.3820588235294,5.964705882352941,841.05,135.23333333333332,-0.6951944779620245,0.02655362616066359,0.062371720555898236,0.036424719917649284,-0.48062937958393004,0.5,20.538720538720522,21.0,-0.0772,0.48310867061050305,-0.9552,0.5267,-0.8225,0.3182,,-0.47525,,-1.9710906701708275,16557.17,103.01,111.33,99.06,90.87,107.63,2025-01-28 00:00:00+01:00
19.0,0.0,0.4554430712719106,-0.9774,0.9636,-0.9774,0.6911999999999999,0.93925,-0.9774,-0.9774,7.123088235294118,67.82764705882353,956.1374999999999,5.508,2008.67,9.336666666666666,-0.02613288818901216,0.2410909740282241,0.27571639907031376,0.24051585750768378,-0.03871962515817895,0.5,-8.324022346368709,20.0,-0.22455,0.45799303749591747,-0.8779,0.6369,-0.6705,0.46715,,,,-2.680965147453085,16645.29,103.88,112.4,99.31,90.98,108.32,2025-01-29 00:00:00+01:00
8.0,0.16149999999999998,0.47392581396549516,-0.5994,0.9235,-0.5994,0.57795,,,,5.768529411764706,77.31529411764706,961.8699999999999,2.4423529411764706,1190.57,62.4,-0.1559754300315408,-0.19729453972848754,-0.16432732754020352,-0.19194264902757663,-0.16507261640584803,0.5,0.9140767824497242,18.0,-0.45204999999999995,0.517157738828363,-0.899,0.5994,-0.6705,0.5022500000000001,-0.3182,,0.21075000000000002,-1.5151515151515138,16755.7,103.48,112.73,100.37,91.54,108.13,2025-01-30 00:00:00+01:00
9.0,0.0,0.3695655617673872,-0.9108,0.0,-0.8335,,-0.4554,-0.9108,-0.4554,3.934705882352941,88.78897058823529,970.9208823529411,4.730823529411765,523.9,161.75,-0.3291857710283619,-0.11631372290386022,-0.08536927864957189,-0.13197116575620615,-0.33447756834626974,0.5,-4.347826086956519,17.0,-0.4215,0.508047411737851,-0.9245,0.7964,-0.6597,0.7807,,,0.04804999999999998,2.7972027972027913,16741.25,103.37,112.92,100.9,90.28,107.63,2025-01-31 00:00:00+01:00
51.0,0.6588,0.6787849476432568,-0.9868,0.9871,-0.7764125000000001,0.7932153846153847,-0.18222500000000003,-0.12714999999999999,0.36756666666666665,2.102205882352941,85.04691176470588,970.6104411764705,3.174352941176471,1002.74,0.0,-0.7338773860695147,0.7516842907921761,0.7807092042544594,0.7523151620280721,-0.7350997089090594,0.5,3.7247474747474696,47.0,-0.6705,0.42818863205256585,-0.9603,0.9633,-0.6908,0.6597,-0.5267,-0.6295999999999999,-0.481075,0.40816326530612734,16639.04,103.41,110.21,101.0,90.6,107.31,2025-02-03 00:00:00+01:00
11.0,0.8525,0.6302352530458909,-0.937,0.9895,-0.937,0.8968285714285714,0.9895,,,2.376470588235294,78.85264705882352,973.1179411764706,2.868,2063.69,0.0,0.8878850100284108,-0.2188427739467591,-0.18898310519179784,-0.22083879208745216,0.8915700552531991,0.5,13.329275715155209,24.0,-0.5305,0.5801024712078455,-0.9565,0.9413,-0.7003,0.6808,-0.9565,-0.2023,0.3695,2.0325203252032464,16555.62,103.29,105.26,100.88,90.07,107.77,2025-02-04 00:00:00+01:00
11.0,0.5255,0.6138944930079228,-0.6705,0.9907,-0.60395,0.8319166666666667,0.003950000000000009,,0.9757,-0.6430882352941177,94.1479411764706,980.1422058823529,3.506823529411765,991.69,0.0,1.128008146192161,0.15743876595337714,0.18412839635633116,0.1475901339774266,0.7655548523640698,0.5,-7.572502685284643,16.0,-0.0129,0.44043315932537747,-0.8481,0.4939,-0.6705,0.3818,,,,2.39043824701195,16685.55,104.24,104.72,103.06,89.78,108.35,2025-02-05 00:00:00+01:00
